[07:09:01] 🚀 CUDA GPU: Tesla V100-SXM2-32GB
[07:09:01] Inference Server running on: cuda:0
[07:09:01] Inference Server: 等待 Trainer 注入已完成手术的初始权重...
[07:09:16] Worker 0 started.
[07:09:17] Worker 1 started.
[07:09:17] Worker 2 started.
[07:09:18] Worker 3 started.
[07:09:18] Worker 4 started.
[07:09:19] Worker 5 started.
[07:09:19] Worker 6 started.
[07:09:20] Worker 7 started.
[07:09:20] Worker 8 started.
[07:09:21] Worker 9 started.
[07:09:21] Worker 10 started.
[07:09:22] Worker 11 started.
[07:09:22] Worker 12 started.
[07:09:23] Worker 13 started.
[07:09:23] Worker 14 started.
[07:09:24] Worker 15 started.
[07:09:24] 🚀 CUDA GPU: Tesla V100-SXM2-32GB
[07:09:24] Trainer running on: cuda:0
[07:09:24] Worker 16 started.
[07:09:25] Worker 17 started.
[07:09:25] ✅ 成功加载 PPO Elite 模型，开启 Self-Play 进阶训练！
[07:09:25] PPO Conditioned Training (Domain Randomization) Start.
[07:09:25] ✅ Inference Server: 初始权重接收完毕，开启高频推理循环！
[07:09:25] Worker 18 started.
[07:09:26] Worker 19 started.
[07:16:04] STEPS: 132553 | P_LOSS: 0.0071 | V_LOSS: 1.8270 | ENT: 0.0176 | REWARD: -0.90
[07:16:07] STEPS: 133580 | P_LOSS: 0.0078 | V_LOSS: 1.7921 | ENT: 0.0176 | REWARD: -0.86
[07:16:10] STEPS: 134610 | P_LOSS: 0.0167 | V_LOSS: 1.9024 | ENT: 0.0176 | REWARD: -0.38
[07:16:13] STEPS: 135635 | P_LOSS: 0.0216 | V_LOSS: 1.9154 | ENT: 0.0176 | REWARD: -0.49
[07:16:16] STEPS: 136661 | P_LOSS: 0.0059 | V_LOSS: 1.7065 | ENT: 0.0175 | REWARD: -0.59
[07:16:19] STEPS: 137691 | P_LOSS: 0.0094 | V_LOSS: 1.9875 | ENT: 0.0175 | REWARD: -0.45
[07:16:22] STEPS: 138717 | P_LOSS: 0.0080 | V_LOSS: 1.8605 | ENT: 0.0175 | REWARD: -0.27
[07:16:25] STEPS: 139741 | P_LOSS: 0.0038 | V_LOSS: 1.7553 | ENT: 0.0175 | REWARD: -0.75
[07:16:28] STEPS: 140765 | P_LOSS: 0.0055 | V_LOSS: 1.9446 | ENT: 0.0175 | REWARD: -0.23
[07:16:32] STEPS: 141794 | P_LOSS: 0.0049 | V_LOSS: 1.7193 | ENT: 0.0174 | REWARD: -0.76
[07:16:35] STEPS: 142824 | P_LOSS: 0.0035 | V_LOSS: 1.7740 | ENT: 0.0174 | REWARD: -0.28
[07:16:37] STEPS: 143849 | P_LOSS: 0.0152 | V_LOSS: 2.1521 | ENT: 0.0174 | REWARD: -0.89
[07:16:41] STEPS: 144878 | P_LOSS: 0.0075 | V_LOSS: 1.9381 | ENT: 0.0174 | REWARD: -0.40
[07:16:43] STEPS: 145907 | P_LOSS: 0.0070 | V_LOSS: 1.7397 | ENT: 0.0174 | REWARD: -0.36
